customer_id,first_name,last_name,email,created_at,total_orders,total_revenue,average_order_value
1,Ted,Strall,ted@strall.com,2024-01-01,3,649.99,216.66333333333333
2,Alice,Wonderland,alice@example.com,2024-01-02,2,450.0,225.0
3,Bob,Builder,bob@example.com,2024-01-03,2,210.0,105.0
4,Charlie,Brown,charlie@example.com,2024-01-05,1,50.0,50.0
5,Dana,Scully,dana@example.com,2024-01-08,2,135.0,67.5
6,Fox,Mulder,fox@example.com,2024-01-09,1,95.0,95.0
7,Harry,Potter,harry@example.com,2024-02-01,1,250.0,250.0
8,Hermione,Granger,hermione@example.com,2024-02-03,1,180.0,180.0
9,Ron,Weasley,ron@example.com,2024-02-04,1,220.0,220.0
10,Luna,Lovegood,luna@example.com,2024-03-01,1,90.0,90.0
